timestamp,symbol,action,price,quantity,confidence,gain,take_profit,stop_loss,outcome
1750395368.9902768,RENDER,BUY,3.117,1.604107,0.7238017962089416,0.054000000000000006,3.285318,3.08583,1
1750395370.5186868,VANA,BUY,4.839,1.033271,0.7256825534670573,0.054000000000000006,5.100306000000001,4.79061,1
1750395371.6816866,TAO,BUY,345.9,0.014455,0.7256825534670573,0.054000000000000006,364.5786,342.441,1
1750395373.211904,SEI,BUY,0.2012,24.850895,0.5128406597259765,0.054000000000000006,0.2120648,0.19918799999999998,1
1750395374.7416275,NEAR,BUY,2.123,2.355158,0.7057750939582982,0.054000000000000006,2.237642,2.10177,1
1750395375.9001977,SOPH,BUY,0.03735,133.868809,0.5093003867530356,0.054000000000000006,0.0393669,0.0369765,1
1750395377.054806,ARB,BUY,0.2971,16.82935,0.5007243132062595,0.054000000000000006,0.31314339999999996,0.294129,1
1750395378.5843766,PENDLE,BUY,3.823,1.307873,0.7256825534670573,0.054000000000000006,4.029442,3.78477,1
1750395379.742681,QUICK,BUY,0.02482,201.450443,0.5157381347684508,0.054000000000000006,0.02616028,0.024571799999999998,1
1750395380.9163342,S,BUY,0.3145,15.898251,0.5006497883075025,0.054000000000000006,0.331483,0.311355,1
1750395382.4679923,BIGTIME,BUY,0.05203,96.098405,0.5066953569415986,0.054000000000000006,0.054839620000000006,0.0515097,1
1750395383.9970207,SIGN,BUY,0.06456,77.447336,0.5094424009917369,0.054000000000000006,0.06804624000000001,0.06391440000000001,1
1750395385.521902,BMT,BUY,0.1342,37.257824,0.5052244324514432,0.054000000000000006,0.1414468,0.132858,1
1750395387.0575857,ACH,BUY,0.0197,253.807107,0.5157381347684508,0.054000000000000006,0.0207638,0.019503,1
1750395388.5846205,COMP,BUY,50.11,0.09978,0.7256825534670573,0.054000000000000006,52.815940000000005,49.6089,1
1750395390.1186507,COOKIE,BUY,0.1759,28.425242,0.5208041636528074,0.054000000000000006,0.1853986,0.174141,1
1750395391.2774453,XTZ,BUY,0.5265,9.496676,0.5100892108237106,0.054000000000000006,0.554931,0.521235,1
1750395392.8226805,BERA,BUY,1.847,2.707093,0.7114653568450141,0.054000000000000006,1.946738,1.82853,1
1750395394.3490524,PIXEL,BUY,0.03196,156.445557,0.5150517398935646,0.054000000000000006,0.03368584,0.0316404,1
1750395395.8862438,CKB,BUY,0.003516,1422.070535,0.5092401541961682,0.054000000000000006,0.003705864,0.00348084,1
1750395397.044378,PENGU,BUY,0.009164,545.613269,0.5157381347684508,0.054000000000000006,0.009658856,0.00907236,1
1750395398.582355,OM,BUY,0.2402,20.815987,0.505898961964582,0.054000000000000006,0.25317080000000003,0.23779799999999998,1
1750395400.1163385,SUPER,BUY,0.5869,8.519339,0.5198517538976279,0.054000000000000006,0.6185926,0.581031,1
1750395401.6811268,DOGE,BUY,0.16738,29.872147,0.5152685170505054,0.054000000000000006,0.17641852,0.1657062,1
1750395403.2057748,ANIME,BUY,0.01996,250.501002,0.5157381347684508,0.054000000000000006,0.02103784,0.019760399999999997,1
1750395404.7395167,ENS,BUY,19.44,0.257202,0.7256825534670573,0.054000000000000006,20.489760000000004,19.2456,1
1750395406.2760131,SAGA,BUY,0.2243,22.291574,0.5102945982963866,0.054000000000000006,0.23641220000000002,0.222057,1
1750395407.433103,ATOM,BUY,3.983,1.255335,0.7256825534670573,0.054000000000000006,4.198082,3.94317,1
1750395408.9779768,EIGEN,BUY,1.17,4.273504,0.6564991964353225,0.054000000000000006,1.23318,1.1582999999999999,1
1750395410.5306623,TIA,BUY,1.603,3.119152,0.7042098218284543,0.054000000000000006,1.689562,1.58697,1
1750395411.7592504,MAGIC,BUY,0.1572,31.806616,0.5109220897803851,0.054000000000000006,0.16568880000000002,0.15562800000000002,1
1750395412.9764187,COS,BUY,0.003014,1658.925017,0.5103478731275146,0.054000000000000006,0.003176756,0.00298386,1
1750395414.5734105,ZRO,BUY,1.764,2.834467,0.7165849685241731,0.054000000000000006,1.859256,1.74636,1
1750395415.7780654,MKR,BUY,1872.0,0.002671,0.7256825534670573,0.054000000000000006,1973.0880000000002,1853.28,1
1750395417.377408,AIXBT,BUY,0.142,35.211268,0.5127645335102887,0.054000000000000006,0.149668,0.14057999999999998,1
1750395419.0335767,COW,BUY,0.2963,16.874789,0.5007243132062597,0.054000000000000006,0.31230020000000003,0.293337,1
1750395420.6388805,NOT,BUY,0.001921,2602.811036,0.5103478731275146,0.054000000000000006,0.0020247340000000003,0.00190179,1
1750395421.8266582,POL,BUY,0.1866,26.795284,0.5164190589122546,0.054000000000000006,0.1966764,0.18473399999999998,1
1750395423.4040112,A,BUY,0.5029,9.942334,0.5123217848347652,0.054000000000000006,0.5300566,0.497871,1
1750395424.976707,RED,BUY,0.2752,18.168605,0.5056186202149789,0.054000000000000006,0.2900608,0.272448,1
1750395426.202045,ORCA,BUY,2.04,2.45098,0.6899096039375512,0.054000000000000006,2.15016,2.0196,1
1750395427.4188895,AVAX,BUY,17.87,0.279799,0.7256825534670573,0.054000000000000006,18.83498,17.691300000000002,1
1750395428.9729848,JOE,BUY,0.1481,33.760972,0.5127645335102887,0.054000000000000006,0.15609740000000003,0.146619,1
1750395430.2055354,ASTR,BUY,0.02417,206.868018,0.5157381347684507,0.054000000000000006,0.02547518,0.0239283,1
1750395431.7985525,SAND,BUY,0.2511,19.912386,0.505898961964582,0.054000000000000006,0.2646594,0.24858899999999998,1
1750395433.33418,CHZ,BUY,0.03485,143.472023,0.5106425283432063,0.054000000000000006,0.0367319,0.0345015,1
1750395434.8840594,ROSE,BUY,0.02331,214.500215,0.5157381347684508,0.054000000000000006,0.024568740000000002,0.0230769,1
1750395436.4203172,RVN,BUY,0.01572,318.066158,0.5157381347684508,0.054000000000000006,0.01656888,0.015562800000000002,1
1750395437.5830069,MOVE,BUY,0.1289,38.78976,0.5052244324514432,0.054000000000000006,0.1358606,0.12761099999999997,1
1750395439.1238792,LUNC,BUY,5.688e-05,87904.360056,0.5103478731275146,0.054000000000000006,5.995152e-05,5.63112e-05,1
1750395440.6817243,SPELL,BUY,0.0004603,10862.480991,0.5103478731275146,0.054000000000000006,0.00048515620000000006,0.000455697,1
1750395441.875241,AXL,BUY,0.3672,13.616558,0.5052031573271616,0.054000000000000006,0.38702880000000006,0.363528,1
1750395443.4193208,CELO,BUY,0.283,17.667845,0.5007787019001048,0.054000000000000006,0.298282,0.28017,1
1750395444.5760493,COTI,BUY,0.05,100.0,0.5071702784350096,0.054000000000000006,0.052700000000000004,0.0495,1
1750396156.2972364,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396157.5490043,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396158.8234246,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396159.9985738,COTIUSDT,BUY,0.05021,99.581757,0.7255380380066208,0.054000000000000006,0.05292134,0.0497079,1
1750396161.1790373,COTIUSDT,BUY,0.05021,99.581757,0.7071687384769646,0.054000000000000006,0.05292134,0.0497079,1
1750396162.6391108,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396164.106905,COTIUSDT,BUY,0.05021,99.581757,0.6707128398130926,0.054000000000000006,0.05292134,0.0497079,1
1750396165.5799053,COTIUSDT,BUY,0.05021,99.581757,0.7061307732543982,0.054000000000000006,0.05292134,0.0497079,1
1750396167.0359716,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396168.4934065,COTIUSDT,BUY,0.05021,99.581757,0.5092401541961682,0.054000000000000006,0.05292134,0.0497079,1
1750396169.8678427,COTIUSDT,BUY,0.05021,99.581757,0.5127645335102887,0.054000000000000006,0.05292134,0.0497079,1
1750396171.3291671,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396172.8068383,COTIUSDT,BUY,0.05021,99.581757,0.6045811243841508,0.054000000000000006,0.05292134,0.0497079,1
1750396174.09845,COTIUSDT,BUY,0.05021,99.581757,0.6539663192448719,0.054000000000000006,0.05292134,0.0497079,1
1750396175.4726832,COTIUSDT,BUY,0.05021,99.581757,0.5093003867530355,0.054000000000000006,0.05292134,0.0497079,1
1750396176.9289892,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396178.291278,COTIUSDT,BUY,0.05021,99.581757,0.5217454125892235,0.054000000000000006,0.05292134,0.0497079,1
1750396179.5716984,COTIUSDT,BUY,0.05021,99.581757,0.7206941124882079,0.054000000000000006,0.05292134,0.0497079,1
1750396181.0453885,COTIUSDT,BUY,0.05021,99.581757,0.5198517538976279,0.054000000000000006,0.05292134,0.0497079,1
1750396182.510886,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396183.977976,COTIUSDT,BUY,0.05021,99.581757,0.5036549871921765,0.054000000000000006,0.05292134,0.0497079,1
1750396185.160486,COTIUSDT,BUY,0.05021,99.581757,0.5157381347684508,0.054000000000000006,0.05292134,0.0497079,1
1750396186.621534,COTIUSDT,BUY,0.05021,99.581757,0.5106425283432061,0.054000000000000006,0.05292134,0.0497079,1
1750396188.0890703,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396189.4617689,COTIUSDT,BUY,0.05021,99.581757,0.5069749646047548,0.054000000000000006,0.05292134,0.0497079,1
1750396190.745151,COTIUSDT,BUY,0.05021,99.581757,0.5092401541961682,0.054000000000000006,0.05292134,0.0497079,1
1750396192.2105153,COTIUSDT,BUY,0.05021,99.581757,0.5186468327669926,0.054000000000000006,0.05292134,0.0497079,1
1750396193.5756557,COTIUSDT,BUY,0.05021,99.581757,0.5002304432058193,0.054000000000000006,0.05292134,0.0497079,1
1750396194.9485493,COTIUSDT,BUY,0.05021,99.581757,0.5327114277307179,0.054000000000000006,0.05292134,0.0497079,1
1750396196.3091826,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396197.6774144,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396199.0476842,COTIUSDT,BUY,0.05021,99.581757,0.7202470429269023,0.054000000000000006,0.05292134,0.0497079,1
1750396200.5171635,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396201.7867887,COTIUSDT,BUY,0.05021,99.581757,0.5051559201992029,0.054000000000000006,0.05292134,0.0497079,1
1750396203.2564716,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396204.6608994,COTIUSDT,BUY,0.05021,99.581757,0.5103478731275146,0.054000000000000006,0.05292134,0.0497079,1
1750396206.0364118,COTIUSDT,BUY,0.05021,99.581757,0.5197601549320421,0.054000000000000006,0.05292134,0.0497079,1
1750396207.5017796,COTIUSDT,BUY,0.05021,99.581757,0.5027594388028107,0.054000000000000006,0.05292134,0.0497079,1
1750396208.9267032,COTIUSDT,BUY,0.05021,99.581757,0.5097768994841827,0.054000000000000006,0.05292134,0.0497079,1
1750396210.2953112,COTIUSDT,BUY,0.05021,99.581757,0.5071702784350096,0.054000000000000006,0.05292134,0.0497079,1
1750396211.685981,COTIUSDT,BUY,0.05021,99.581757,0.5094424009917369,0.054000000000000006,0.05292134,0.0497079,1
1750396212.9676096,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396214.2533786,COTIUSDT,BUY,0.05021,99.581757,0.5177107196486157,0.054000000000000006,0.05292134,0.0497079,1
1750396215.7326345,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396217.0977755,COTIUSDT,BUY,0.05021,99.581757,0.6759936204374704,0.054000000000000006,0.05292134,0.0497079,1
1750396218.4650311,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396219.8315387,COTIUSDT,BUY,0.05021,99.581757,0.7238017962089416,0.054000000000000006,0.05292134,0.0497079,1
1750396221.29774,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396222.766347,COTIUSDT,BUY,0.05021,99.581757,0.5128406597259765,0.054000000000000006,0.05292134,0.0497079,1
1750396224.1365159,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396225.6069515,COTIUSDT,BUY,0.05021,99.581757,0.7057750939582982,0.054000000000000006,0.05292134,0.0497079,1
1750396227.0713477,COTIUSDT,BUY,0.05021,99.581757,0.5093003867530355,0.054000000000000006,0.05292134,0.0497079,1
1750396228.541775,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396229.8205812,COTIUSDT,BUY,0.05021,99.581757,0.5157381347684508,0.054000000000000006,0.05292134,0.0497079,1
1750396231.2925944,COTIUSDT,BUY,0.05021,99.581757,0.5007243132062597,0.054000000000000006,0.05292134,0.0497079,1
1750396232.5605755,COTIUSDT,BUY,0.05021,99.581757,0.5006497883075025,0.054000000000000006,0.05292134,0.0497079,1
1750396233.9343274,COTIUSDT,BUY,0.05021,99.581757,0.5063478287864974,0.054000000000000006,0.05292134,0.0497079,1
1750396235.3100944,COTIUSDT,BUY,0.05021,99.581757,0.5094424009917369,0.054000000000000006,0.05292134,0.0497079,1
1750396236.786147,COTIUSDT,BUY,0.05021,99.581757,0.5157381347684508,0.054000000000000006,0.05292134,0.0497079,1
1750396238.0616028,COTIUSDT,BUY,0.05021,99.581757,0.5052244324514433,0.054000000000000006,0.05292134,0.0497079,1
1750396239.3389294,COTIUSDT,BUY,0.05021,99.581757,0.5168117683270141,0.054000000000000006,0.05292134,0.0497079,1
1750396240.5212212,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396241.9934983,COTIUSDT,BUY,0.05021,99.581757,0.7206090081683054,0.054000000000000006,0.05292134,0.0497079,1
1750396243.4574692,COTIUSDT,BUY,0.05021,99.581757,0.5101357035966367,0.054000000000000006,0.05292134,0.0497079,1
1750396244.9179983,COTIUSDT,BUY,0.05021,99.581757,0.5106425283432061,0.054000000000000006,0.05292134,0.0497079,1
1750396246.3952787,COTIUSDT,BUY,0.05021,99.581757,0.505898961964582,0.054000000000000006,0.05292134,0.0497079,1
1750396247.5758088,COTIUSDT,BUY,0.05021,99.581757,0.5092401541961682,0.054000000000000006,0.05292134,0.0497079,1
1750396248.865749,COTIUSDT,BUY,0.05021,99.581757,0.5157381347684507,0.054000000000000006,0.05292134,0.0497079,1
1750396250.2654626,COTIUSDT,BUY,0.05021,99.581757,0.5198517538976279,0.054000000000000006,0.05292134,0.0497079,1
1750396251.7195075,COTIUSDT,BUY,0.05021,99.581757,0.5157381347684508,0.054000000000000006,0.05292134,0.0497079,1
1750396253.2530591,COTIUSDT,BUY,0.05021,99.581757,0.7256825534670573,0.054000000000000006,0.05292134,0.0497079,1
1750396254.6186638,COTIUSDT,BUY,0.05021,99.581757,0.5152685170505054,0.054000000000000006,0.05292134,0.0497079,1
1750396255.9089081,COTIUSDT,BUY,0.05021,99.581757,0.5102945982963866,0.054000000000000006,0.05292134,0.0497079,1
1750396257.274023,COTIUSDT,BUY,0.05021,99.581757,0.6576574062080232,0.054000000000000006,0.05292134,0.0497079,1
1750396258.5588672,COTIUSDT,BUY,0.05021,99.581757,0.5127645335102887,0.054000000000000006,0.05292134,0.0497079,1
1750421022.879147,WBTCUSDT,BUY,105923.41,4.7e-05,0.5808671933765193,0.054000000000000006,111643.27414000001,104864.1759,1
1750421209.8502018,WBTCUSDT,BUY,105934.9,4.7e-05,0.5808671933765194,0.054000000000000006,111655.3846,104875.55099999999,1
1750421299.0861197,WBTCUSDT,BUY,105918.02,4.7e-05,0.5808671933765193,0.054000000000000006,111637.59308,104858.8398,1
